Category: All categories

Day,Apple: (United States)
2018-07-01,33
2018-07-02,30
2018-07-03,31
2018-07-04,33
2018-07-05,31
2018-07-06,31
2018-07-07,32
2018-07-08,33
2018-07-09,31
2018-07-10,32
2018-07-11,31
2018-07-12,34
2018-07-13,34
2018-07-14,34
2018-07-15,34
2018-07-16,34
2018-07-17,34
2018-07-18,34
2018-07-19,33
2018-07-20,32
2018-07-21,33
2018-07-22,33
2018-07-23,33
2018-07-24,33
2018-07-25,32
2018-07-26,32
2018-07-27,32
2018-07-28,33
2018-07-29,34
2018-07-30,33
2018-07-31,35
2018-08-01,35
2018-08-02,40
2018-08-03,38
2018-08-04,37
2018-08-05,36
2018-08-06,34
2018-08-07,34
2018-08-08,34
2018-08-09,32
2018-08-10,32
2018-08-11,35
2018-08-12,36
2018-08-13,34
2018-08-14,34
2018-08-15,33
2018-08-16,33
2018-08-17,33
2018-08-18,34
2018-08-19,36
2018-08-20,33
2018-08-21,33
2018-08-22,33
2018-08-23,31
2018-08-24,32
2018-08-25,35
2018-08-26,35
2018-08-27,33
2018-08-28,34
2018-08-29,32
2018-08-30,34
2018-08-31,35
2018-09-01,37
2018-09-02,37
2018-09-03,39
2018-09-04,34
2018-09-05,32
2018-09-06,33
2018-09-07,33
2018-09-08,38
2018-09-09,38
2018-09-10,36
2018-09-11,37
2018-09-12,100
2018-09-13,66
2018-09-14,56
2018-09-15,50
2018-09-16,48
2018-09-17,44
2018-09-18,43
2018-09-19,43
2018-09-20,42
2018-09-21,48
2018-09-22,59
2018-09-23,56
2018-09-24,46
2018-09-25,46
2018-09-26,45
2018-09-27,41
2018-09-28,43
2018-09-29,54
2018-09-30,54
2018-10-01,43
2018-10-02,41
2018-10-03,39
2018-10-04,39
2018-10-05,41
2018-10-06,51
2018-10-07,50
2018-10-08,43
2018-10-09,39
2018-10-10,37
2018-10-11,38
2018-10-12,39
2018-10-13,48
2018-10-14,47
2018-10-15,39
2018-10-16,37
2018-10-17,35
2018-10-18,37
2018-10-19,39
2018-10-20,42
2018-10-21,44
2018-10-22,37
2018-10-23,39
2018-10-24,36
2018-10-25,36
2018-10-26,37
2018-10-27,41
2018-10-28,42
2018-10-29,36
2018-10-30,49
2018-10-31,38
2018-11-01,39
2018-11-02,39
2018-11-03,42
2018-11-04,41
2018-11-05,36
2018-11-06,36
2018-11-07,32
2018-11-08,35
2018-11-09,38
2018-11-10,43
2018-11-11,42
2018-11-12,39
2018-11-13,39
2018-11-14,37
2018-11-15,37
2018-11-16,38
2018-11-17,46
2018-11-18,49
2018-11-19,45
2018-11-20,50
2018-11-21,64
2018-11-22,81
2018-11-23,82
2018-11-24,63
2018-11-25,49
2018-11-26,54
2018-11-27,43
2018-11-28,38
2018-11-29,38
2018-11-30,37
2018-12-01,39
2018-12-02,41
2018-12-03,36
2018-12-04,38
2018-12-05,36
2018-12-06,39
2018-12-07,39
2018-12-08,42
2018-12-09,42
2018-12-10,41
2018-12-11,38
2018-12-12,37
2018-12-13,39
2018-12-14,40
2018-12-15,46
2018-12-16,45
2018-12-17,39
2018-12-18,41
2018-12-19,40
2018-12-20,42
2018-12-21,44
2018-12-22,49
2018-12-23,50
2018-12-24,51
2018-12-25,76
2018-12-26,64
2018-12-27,54
2018-12-28,45
2018-12-29,47
2018-12-30,44
2018-12-31,41
2019-01-01,40
2019-01-02,41
2019-01-03,46
2019-01-04,43
2019-01-05,42
2019-01-06,39
2019-01-07,37
2019-01-08,36
2019-01-09,36
2019-01-10,34
2019-01-11,35
2019-01-12,38
2019-01-13,37
2019-01-14,34
2019-01-15,34
2019-01-16,34
2019-01-17,32
2019-01-18,33
2019-01-19,36
2019-01-20,36
2019-01-21,34
2019-01-22,32
2019-01-23,32
2019-01-24,33
2019-01-25,33
2019-01-26,36
2019-01-27,36
2019-01-28,32
2019-01-29,37
2019-01-30,35
2019-01-31,31
2019-02-01,32
