Category: All categories

Day,Apple: (United States)
2014-12-01,54
2014-12-02,48
2014-12-03,44
2014-12-04,43
2014-12-05,44
2014-12-06,50
2014-12-07,49
2014-12-08,46
2014-12-09,43
2014-12-10,44
2014-12-11,44
2014-12-12,45
2014-12-13,50
2014-12-14,50
2014-12-15,45
2014-12-16,46
2014-12-17,45
2014-12-18,45
2014-12-19,49
2014-12-20,54
2014-12-21,55
2014-12-22,50
2014-12-23,54
2014-12-24,59
2014-12-25,72
2014-12-26,65
2014-12-27,58
2014-12-28,54
2014-12-29,49
2014-12-30,48
2014-12-31,49
2015-01-01,49
2015-01-02,48
2015-01-03,50
2015-01-04,48
2015-01-05,43
2015-01-06,43
2015-01-07,43
2015-01-08,42
2015-01-09,42
2015-01-10,46
2015-01-11,46
2015-01-12,40
2015-01-13,42
2015-01-14,41
2015-01-15,39
2015-01-16,40
2015-01-17,45
2015-01-18,45
2015-01-19,43
2015-01-20,42
2015-01-21,39
2015-01-22,39
2015-01-23,39
2015-01-24,43
2015-01-25,43
2015-01-26,37
2015-01-27,43
2015-01-28,44
2015-01-29,40
2015-01-30,40
2015-01-31,44
2015-02-01,42
2015-02-02,36
2015-02-03,38
2015-02-04,39
2015-02-05,39
2015-02-06,39
2015-02-07,42
2015-02-08,42
2015-02-09,38
2015-02-10,39
2015-02-11,40
2015-02-12,39
2015-02-13,40
2015-02-14,41
2015-02-15,42
2015-02-16,42
2015-02-17,40
2015-02-18,39
2015-02-19,38
2015-02-20,39
2015-02-21,42
2015-02-22,42
2015-02-23,39
2015-02-24,40
2015-02-25,39
2015-02-26,40
2015-02-27,38
2015-02-28,43
2015-03-01,43
2015-03-02,40
2015-03-03,40
2015-03-04,39
2015-03-05,39
2015-03-06,41
2015-03-07,44
2015-03-08,44
2015-03-09,100
2015-03-10,85
2015-03-11,70
2015-03-12,57
2015-03-13,51
2015-03-14,55
2015-03-15,52
2015-03-16,48
2015-03-17,47
2015-03-18,44
2015-03-19,44
2015-03-20,44
2015-03-21,48
2015-03-22,46
2015-03-23,41
2015-03-24,42
2015-03-25,39
2015-03-26,38
2015-03-27,41
2015-03-28,45
2015-03-29,46
2015-03-30,42
2015-03-31,41
2015-04-01,42
2015-04-02,39
2015-04-03,42
2015-04-04,45
2015-04-05,47
2015-04-06,45
2015-04-07,45
2015-04-08,47
2015-04-09,50
2015-04-10,69
2015-04-11,57
2015-04-12,51
2015-04-13,47
2015-04-14,44
2015-04-15,43
2015-04-16,43
2015-04-17,44
2015-04-18,46
2015-04-19,47
2015-04-20,43
2015-04-21,43
2015-04-22,44
2015-04-23,45
2015-04-24,56
2015-04-25,57
2015-04-26,53
2015-04-27,52
2015-04-28,52
2015-04-29,47
2015-04-30,46
2015-05-01,45
