Category: All categories

Day,Apple: (United States)
2015-09-01,29
2015-09-02,29
2015-09-03,28
2015-09-04,29
2015-09-05,32
2015-09-06,34
2015-09-07,35
2015-09-08,35
2015-09-09,100
2015-09-10,72
2015-09-11,44
2015-09-12,56
2015-09-13,43
2015-09-14,37
2015-09-15,35
2015-09-16,38
2015-09-17,37
2015-09-18,37
2015-09-19,44
2015-09-20,45
2015-09-21,42
2015-09-22,40
2015-09-23,37
2015-09-24,37
2015-09-25,42
2015-09-26,51
2015-09-27,48
2015-09-28,37
2015-09-29,37
2015-09-30,37
2015-10-01,37
2015-10-02,37
2015-10-03,45
2015-10-04,45
2015-10-05,37
2015-10-06,36
2015-10-07,35
2015-10-08,33
2015-10-09,37
2015-10-10,46
2015-10-11,47
2015-10-12,38
2015-10-13,34
2015-10-14,34
2015-10-15,34
2015-10-16,34
2015-10-17,41
2015-10-18,42
2015-10-19,32
2015-10-20,32
2015-10-21,32
2015-10-22,32
2015-10-23,33
2015-10-24,39
2015-10-25,39
2015-10-26,34
2015-10-27,32
2015-10-28,32
2015-10-29,32
2015-10-30,33
2015-10-31,37
2015-11-01,37
2015-11-02,32
2015-11-03,31
2015-11-04,29
2015-11-05,30
2015-11-06,30
2015-11-07,35
2015-11-08,35
2015-11-09,29
2015-11-10,30
2015-11-11,31
2015-11-12,30
2015-11-13,30
2015-11-14,33
2015-11-15,33
2015-11-16,30
2015-11-17,29
2015-11-18,30
2015-11-19,30
2015-11-20,30
2015-11-21,37
2015-11-22,37
2015-11-23,35
2015-11-24,38
2015-11-25,48
2015-11-26,62
2015-11-27,54
2015-11-28,41
2015-11-29,37
2015-11-30,37
2015-12-01,31
2015-12-02,28
2015-12-03,27
2015-12-04,28
2015-12-05,32
2015-12-06,33
2015-12-07,30
2015-12-08,29
2015-12-09,30
2015-12-10,31
2015-12-11,30
2015-12-12,34
2015-12-13,34
2015-12-14,31
2015-12-15,30
2015-12-16,30
2015-12-17,29
2015-12-18,32
2015-12-19,36
2015-12-20,38
2015-12-21,36
2015-12-22,35
2015-12-23,36
2015-12-24,40
2015-12-25,54
2015-12-26,50
2015-12-27,42
2015-12-28,37
2015-12-29,35
2015-12-30,34
2015-12-31,34
2016-01-01,33
2016-01-02,34
2016-01-03,32
2016-01-04,30
2016-01-05,29
2016-01-06,29
2016-01-07,28
2016-01-08,28
2016-01-09,31
2016-01-10,29
2016-01-11,27
2016-01-12,27
2016-01-13,26
2016-01-14,24
2016-01-15,27
2016-01-16,30
2016-01-17,29
2016-01-18,28
2016-01-19,25
2016-01-20,26
2016-01-21,26
2016-01-22,26
2016-01-23,28
2016-01-24,28
2016-01-25,27
2016-01-26,28
2016-01-27,27
2016-01-28,25
2016-01-29,26
2016-01-30,29
2016-01-31,28
2016-02-01,26
2016-02-02,26
2016-02-03,25
2016-02-04,26
2016-02-05,24
2016-02-06,28
2016-02-07,29
2016-02-08,24
2016-02-09,26
2016-02-10,24
2016-02-11,25
2016-02-12,26
2016-02-13,29
2016-02-14,29
2016-02-15,27
2016-02-16,26
2016-02-17,29
2016-02-18,30
2016-02-19,28
2016-02-20,30
2016-02-21,31
2016-02-22,28
2016-02-23,29
2016-02-24,26
2016-02-25,27
2016-02-26,27
2016-02-27,29
2016-02-28,28
2016-02-29,25
2016-03-01,26
