Category: All categories

Day,Apple: (United States)
2012-07-01,22
2012-07-02,19
2012-07-03,19
2012-07-04,20
2012-07-05,19
2012-07-06,19
2012-07-07,21
2012-07-08,20
2012-07-09,19
2012-07-10,18
2012-07-11,19
2012-07-12,18
2012-07-13,19
2012-07-14,20
2012-07-15,21
2012-07-16,20
2012-07-17,19
2012-07-18,19
2012-07-19,18
2012-07-20,18
2012-07-21,20
2012-07-22,20
2012-07-23,19
2012-07-24,21
2012-07-25,22
2012-07-26,22
2012-07-27,21
2012-07-28,20
2012-07-29,21
2012-07-30,20
2012-07-31,21
2012-08-01,20
2012-08-02,20
2012-08-03,20
2012-08-04,20
2012-08-05,22
2012-08-06,20
2012-08-07,20
2012-08-08,20
2012-08-09,20
2012-08-10,18
2012-08-11,21
2012-08-12,21
2012-08-13,20
2012-08-14,20
2012-08-15,19
2012-08-16,20
2012-08-17,21
2012-08-18,22
2012-08-19,22
2012-08-20,21
2012-08-21,21
2012-08-22,20
2012-08-23,20
2012-08-24,22
2012-08-25,27
2012-08-26,24
2012-08-27,23
2012-08-28,23
2012-08-29,23
2012-08-30,23
2012-08-31,22
2012-09-01,24
2012-09-02,25
2012-09-03,25
2012-09-04,24
2012-09-05,24
2012-09-06,22
2012-09-07,22
2012-09-08,25
2012-09-09,26
2012-09-10,25
2012-09-11,27
2012-09-12,100
2012-09-13,50
2012-09-14,47
2012-09-15,37
2012-09-16,35
2012-09-17,29
2012-09-18,27
2012-09-19,32
2012-09-20,37
2012-09-21,46
2012-09-22,45
2012-09-23,42
2012-09-24,35
2012-09-25,33
2012-09-26,31
2012-09-27,30
2012-09-28,31
2012-09-29,37
2012-09-30,35
2012-10-01,29
2012-10-02,28
2012-10-03,26
2012-10-04,25
2012-10-05,29
2012-10-06,36
2012-10-07,34
2012-10-08,29
2012-10-09,25
2012-10-10,25
2012-10-11,25
2012-10-12,26
2012-10-13,31
2012-10-14,31
2012-10-15,25
2012-10-16,24
2012-10-17,24
2012-10-18,24
2012-10-19,24
2012-10-20,29
2012-10-21,30
2012-10-22,24
2012-10-23,45
2012-10-24,34
2012-10-25,28
2012-10-26,28
2012-10-27,29
2012-10-28,27
2012-10-29,22
2012-10-30,23
2012-10-31,22
2012-11-01,23
2012-11-02,25
2012-11-03,28
2012-11-04,28
2012-11-05,23
2012-11-06,21
2012-11-07,19
2012-11-08,23
2012-11-09,24
2012-11-10,26
2012-11-11,28
2012-11-12,24
2012-11-13,23
2012-11-14,22
2012-11-15,24
2012-11-16,24
2012-11-17,28
2012-11-18,30
2012-11-19,28
2012-11-20,30
2012-11-21,39
2012-11-22,47
2012-11-23,50
2012-11-24,34
2012-11-25,29
2012-11-26,29
2012-11-27,24
2012-11-28,22
2012-11-29,22
2012-11-30,24
2012-12-01,26
2012-12-02,25
2012-12-03,22
2012-12-04,23
2012-12-05,23
2012-12-06,24
2012-12-07,23
2012-12-08,27
2012-12-09,25
2012-12-10,23
2012-12-11,23
2012-12-12,23
2012-12-13,23
2012-12-14,22
2012-12-15,26
2012-12-16,27
2012-12-17,24
2012-12-18,24
2012-12-19,24
2012-12-20,24
2012-12-21,24
2012-12-22,29
2012-12-23,30
2012-12-24,31
2012-12-25,40
2012-12-26,34
2012-12-27,28
2012-12-28,27
2012-12-29,28
2012-12-30,27
2012-12-31,25
2013-01-01,25
