Category: All categories

Day,Apple: (United States)
2010-07-01,49
2010-07-02,52
2010-07-03,51
2010-07-04,50
2010-07-05,48
2010-07-06,46
2010-07-07,44
2010-07-08,45
2010-07-09,44
2010-07-10,48
2010-07-11,46
2010-07-12,45
2010-07-13,46
2010-07-14,46
2010-07-15,50
2010-07-16,83
2010-07-17,60
2010-07-18,53
2010-07-19,49
2010-07-20,49
2010-07-21,49
2010-07-22,48
2010-07-23,50
2010-07-24,52
2010-07-25,49
2010-07-26,45
2010-07-27,51
2010-07-28,49
2010-07-29,48
2010-07-30,45
2010-07-31,50
2010-08-01,50
2010-08-02,46
2010-08-03,45
2010-08-04,46
2010-08-05,43
2010-08-06,46
2010-08-07,49
2010-08-08,49
2010-08-09,46
2010-08-10,45
2010-08-11,43
2010-08-12,45
2010-08-13,45
2010-08-14,50
2010-08-15,47
2010-08-16,46
2010-08-17,45
2010-08-18,45
2010-08-19,44
2010-08-20,45
2010-08-21,49
2010-08-22,47
2010-08-23,46
2010-08-24,43
2010-08-25,47
2010-08-26,46
2010-08-27,45
2010-08-28,49
2010-08-29,48
2010-08-30,46
2010-08-31,45
2010-09-01,94
2010-09-02,77
2010-09-03,60
2010-09-04,63
2010-09-05,63
2010-09-06,64
2010-09-07,54
2010-09-08,57
2010-09-09,55
2010-09-10,54
2010-09-11,61
2010-09-12,60
2010-09-13,52
2010-09-14,50
2010-09-15,52
2010-09-16,51
2010-09-17,55
2010-09-18,66
2010-09-19,63
2010-09-20,55
2010-09-21,51
2010-09-22,50
2010-09-23,52
2010-09-24,54
2010-09-25,66
2010-09-26,67
2010-09-27,53
2010-09-28,54
2010-09-29,52
2010-09-30,54
2010-10-01,58
2010-10-02,72
2010-10-03,71
2010-10-04,54
2010-10-05,53
2010-10-06,51
2010-10-07,53
2010-10-08,56
2010-10-09,70
2010-10-10,71
2010-10-11,56
2010-10-12,49
2010-10-13,52
2010-10-14,50
2010-10-15,53
2010-10-16,64
2010-10-17,64
2010-10-18,51
2010-10-19,52
2010-10-20,68
2010-10-21,61
2010-10-22,57
2010-10-23,62
2010-10-24,62
2010-10-25,52
2010-10-26,48
2010-10-27,48
2010-10-28,48
2010-10-29,49
2010-10-30,54
2010-10-31,53
2010-11-01,45
2010-11-02,46
2010-11-03,41
2010-11-04,46
2010-11-05,48
2010-11-06,55
2010-11-07,55
2010-11-08,45
2010-11-09,44
2010-11-10,45
2010-11-11,49
2010-11-12,51
2010-11-13,55
2010-11-14,56
2010-11-15,56
2010-11-16,65
2010-11-17,52
2010-11-18,53
2010-11-19,51
2010-11-20,58
2010-11-21,61
2010-11-22,60
2010-11-23,72
2010-11-24,83
2010-11-25,98
2010-11-26,100
2010-11-27,66
2010-11-28,61
2010-11-29,61
2010-11-30,51
2010-12-01,48
2010-12-02,48
2010-12-03,51
2010-12-04,63
2010-12-05,61
2010-12-06,49
2010-12-07,48
2010-12-08,49
2010-12-09,49
2010-12-10,49
2010-12-11,57
2010-12-12,54
2010-12-13,51
2010-12-14,48
2010-12-15,50
2010-12-16,50
2010-12-17,49
2010-12-18,58
2010-12-19,59
2010-12-20,55
2010-12-21,53
2010-12-22,55
2010-12-23,57
2010-12-24,65
2010-12-25,82
2010-12-26,79
2010-12-27,62
2010-12-28,58
2010-12-29,55
2010-12-30,53
2010-12-31,55
2011-01-01,60
