Category: All categories

Day,Apple: (United States)
2016-12-01,55
2016-12-02,56
2016-12-03,62
2016-12-04,62
2016-12-05,57
2016-12-06,56
2016-12-07,58
2016-12-08,57
2016-12-09,55
2016-12-10,63
2016-12-11,65
2016-12-12,58
2016-12-13,57
2016-12-14,58
2016-12-15,57
2016-12-16,62
2016-12-17,68
2016-12-18,69
2016-12-19,64
2016-12-20,65
2016-12-21,67
2016-12-22,66
2016-12-23,72
2016-12-24,79
2016-12-25,100
2016-12-26,94
2016-12-27,78
2016-12-28,68
2016-12-29,66
2016-12-30,64
2016-12-31,63
2017-01-01,61
2017-01-02,65
2017-01-03,60
2017-01-04,60
2017-01-05,56
2017-01-06,54
2017-01-07,59
2017-01-08,63
2017-01-09,54
2017-01-10,56
2017-01-11,53
2017-01-12,53
2017-01-13,52
2017-01-14,58
2017-01-15,59
2017-01-16,55
2017-01-17,52
2017-01-18,53
2017-01-19,51
2017-01-20,48
2017-01-21,54
2017-01-22,55
2017-01-23,52
2017-01-24,52
2017-01-25,50
2017-01-26,51
2017-01-27,50
2017-01-28,55
2017-01-29,57
2017-01-30,51
2017-01-31,54
2017-02-01,55
2017-02-02,51
2017-02-03,49
2017-02-04,53
2017-02-05,57
2017-02-06,47
2017-02-07,50
2017-02-08,49
2017-02-09,50
2017-02-10,49
2017-02-11,55
2017-02-12,56
2017-02-13,50
2017-02-14,49
2017-02-15,49
2017-02-16,49
2017-02-17,49
2017-02-18,53
2017-02-19,56
2017-02-20,51
2017-02-21,49
2017-02-22,49
2017-02-23,48
2017-02-24,51
2017-02-25,55
2017-02-26,55
2017-02-27,48
2017-02-28,48
2017-03-01,47
2017-03-02,47
2017-03-03,48
2017-03-04,54
2017-03-05,57
2017-03-06,51
2017-03-07,49
2017-03-08,49
2017-03-09,48
2017-03-10,48
2017-03-11,53
2017-03-12,53
2017-03-13,50
2017-03-14,50
2017-03-15,47
2017-03-16,47
2017-03-17,47
2017-03-18,54
2017-03-19,54
2017-03-20,49
2017-03-21,58
2017-03-22,55
2017-03-23,53
2017-03-24,53
2017-03-25,56
2017-03-26,56
2017-03-27,52
2017-03-28,54
2017-03-29,51
2017-03-30,51
2017-03-31,50
2017-04-01,53
2017-04-02,56
2017-04-03,50
2017-04-04,52
2017-04-05,50
2017-04-06,48
2017-04-07,48
2017-04-08,54
2017-04-09,54
2017-04-10,50
2017-04-11,48
2017-04-12,48
2017-04-13,48
2017-04-14,52
2017-04-15,56
2017-04-16,53
2017-04-17,49
2017-04-18,49
2017-04-19,49
2017-04-20,49
2017-04-21,48
2017-04-22,53
2017-04-23,53
2017-04-24,51
2017-04-25,49
2017-04-26,48
2017-04-27,48
2017-04-28,48
2017-04-29,52
2017-04-30,53
2017-05-01,52
