Category: All categories

Day,Apple: (United States)
2010-01-01,22
2010-01-02,22
2010-01-03,21
2010-01-04,24
2010-01-05,24
2010-01-06,21
2010-01-07,19
2010-01-08,19
2010-01-09,22
2010-01-10,21
2010-01-11,19
2010-01-12,18
2010-01-13,18
2010-01-14,18
2010-01-15,18
2010-01-16,19
2010-01-17,21
2010-01-18,19
2010-01-19,19
2010-01-20,19
2010-01-21,19
2010-01-22,20
2010-01-23,23
2010-01-24,21
2010-01-25,23
2010-01-26,30
2010-01-27,100
2010-01-28,46
2010-01-29,28
2010-01-30,26
2010-01-31,24
2010-02-01,20
2010-02-02,18
2010-02-03,19
2010-02-04,18
2010-02-05,18
2010-02-06,20
2010-02-07,20
2010-02-08,17
2010-02-09,17
2010-02-10,17
2010-02-11,17
2010-02-12,17
2010-02-13,18
2010-02-14,19
2010-02-15,18
2010-02-16,16
2010-02-17,16
2010-02-18,16
2010-02-19,16
2010-02-20,18
2010-02-21,18
2010-02-22,16
2010-02-23,16
2010-02-24,16
2010-02-25,16
2010-02-26,16
2010-02-27,18
2010-02-28,18
2010-03-01,16
