Category: All categories

Day,Apple: (United States)
2014-02-01,62
2014-02-02,61
2014-02-03,51
2014-02-04,55
2014-02-05,52
2014-02-06,50
2014-02-07,54
2014-02-08,60
2014-02-09,64
2014-02-10,53
2014-02-11,52
2014-02-12,52
2014-02-13,53
2014-02-14,50
2014-02-15,58
2014-02-16,59
2014-02-17,56
2014-02-18,54
2014-02-19,52
2014-02-20,51
2014-02-21,51
2014-02-22,64
2014-02-23,69
2014-02-24,59
2014-02-25,58
2014-02-26,55
2014-02-27,55
2014-02-28,54
2014-03-01,62
2014-03-02,62
2014-03-03,54
2014-03-04,55
2014-03-05,53
2014-03-06,53
2014-03-07,53
2014-03-08,58
2014-03-09,60
2014-03-10,52
2014-03-11,54
2014-03-12,52
2014-03-13,53
2014-03-14,54
2014-03-15,61
2014-03-16,63
2014-03-17,56
2014-03-18,54
2014-03-19,55
2014-03-20,52
2014-03-21,50
2014-03-22,57
2014-03-23,58
2014-03-24,53
2014-03-25,53
2014-03-26,53
2014-03-27,52
2014-03-28,52
2014-03-29,57
2014-03-30,57
2014-03-31,52
2014-04-01,50
2014-04-02,53
2014-04-03,52
2014-04-04,51
2014-04-05,57
2014-04-06,56
2014-04-07,52
2014-04-08,52
2014-04-09,50
2014-04-10,50
2014-04-11,51
2014-04-12,55
2014-04-13,56
2014-04-14,51
2014-04-15,49
2014-04-16,51
2014-04-17,51
2014-04-18,55
2014-04-19,59
2014-04-20,59
2014-04-21,55
2014-04-22,53
2014-04-23,59
2014-04-24,62
2014-04-25,56
2014-04-26,59
2014-04-27,59
2014-04-28,55
2014-04-29,56
2014-04-30,55
2014-05-01,54
2014-05-02,52
2014-05-03,59
2014-05-04,58
2014-05-05,54
2014-05-06,53
2014-05-07,52
2014-05-08,53
2014-05-09,65
2014-05-10,61
2014-05-11,60
2014-05-12,56
2014-05-13,52
2014-05-14,52
2014-05-15,53
2014-05-16,51
2014-05-17,57
2014-05-18,57
2014-05-19,53
2014-05-20,52
2014-05-21,51
2014-05-22,52
2014-05-23,52
2014-05-24,55
2014-05-25,54
2014-05-26,58
2014-05-27,55
2014-05-28,57
2014-05-29,58
2014-05-30,55
2014-05-31,58
2014-06-01,60
2014-06-02,100
2014-06-03,80
2014-06-04,63
2014-06-05,60
2014-06-06,57
2014-06-07,61
2014-06-08,62
2014-06-09,65
2014-06-10,62
2014-06-11,58
2014-06-12,56
2014-06-13,55
2014-06-14,59
2014-06-15,60
2014-06-16,55
2014-06-17,55
2014-06-18,56
2014-06-19,56
2014-06-20,54
2014-06-21,58
2014-06-22,57
2014-06-23,53
2014-06-24,54
2014-06-25,55
2014-06-26,51
2014-06-27,53
2014-06-28,56
2014-06-29,57
2014-06-30,54
2014-07-01,55
2014-07-02,57
2014-07-03,57
2014-07-04,60
2014-07-05,56
2014-07-06,58
2014-07-07,57
2014-07-08,56
2014-07-09,55
2014-07-10,55
2014-07-11,55
2014-07-12,56
2014-07-13,57
2014-07-14,56
2014-07-15,56
2014-07-16,58
2014-07-17,55
2014-07-18,55
2014-07-19,59
2014-07-20,59
2014-07-21,57
2014-07-22,61
2014-07-23,59
2014-07-24,57
2014-07-25,58
2014-07-26,59
2014-07-27,61
2014-07-28,58
2014-07-29,60
2014-07-30,59
2014-07-31,57
2014-08-01,58
