Category: All categories

Day,Apple: (United States)
2019-01-01,79
2019-01-02,80
2019-01-03,92
2019-01-04,84
2019-01-05,81
2019-01-06,79
2019-01-07,72
2019-01-08,70
2019-01-09,72
2019-01-10,68
2019-01-11,68
2019-01-12,74
2019-01-13,76
2019-01-14,66
2019-01-15,67
2019-01-16,68
2019-01-17,65
2019-01-18,66
2019-01-19,72
2019-01-20,71
2019-01-21,67
2019-01-22,64
2019-01-23,61
2019-01-24,64
2019-01-25,63
2019-01-26,70
2019-01-27,70
2019-01-28,62
2019-01-29,72
2019-01-30,67
2019-01-31,62
2019-02-01,61
2019-02-02,67
2019-02-03,66
2019-02-04,58
2019-02-05,61
2019-02-06,60
2019-02-07,59
2019-02-08,61
2019-02-09,70
2019-02-10,69
2019-02-11,59
2019-02-12,60
2019-02-13,59
2019-02-14,59
2019-02-15,60
2019-02-16,66
2019-02-17,67
2019-02-18,64
2019-02-19,61
2019-02-20,61
2019-02-21,60
2019-02-22,60
2019-02-23,65
2019-02-24,66
2019-02-25,59
2019-02-26,58
2019-02-27,60
2019-02-28,58
2019-03-01,58
2019-03-02,66
2019-03-03,64
2019-03-04,59
2019-03-05,56
2019-03-06,54
2019-03-07,61
2019-03-08,60
2019-03-09,65
2019-03-10,66
2019-03-11,63
2019-03-12,62
2019-03-13,59
2019-03-14,59
2019-03-15,57
2019-03-16,62
2019-03-17,64
2019-03-18,61
2019-03-19,62
2019-03-20,65
2019-03-21,63
2019-03-22,59
2019-03-23,64
2019-03-24,64
2019-03-25,100
2019-03-26,87
2019-03-27,69
2019-03-28,62
2019-03-29,64
2019-03-30,65
2019-03-31,66
2019-04-01,60
2019-04-02,60
2019-04-03,61
2019-04-04,60
2019-04-05,59
2019-04-06,65
2019-04-07,66
2019-04-08,59
2019-04-09,58
2019-04-10,58
2019-04-11,58
2019-04-12,57
2019-04-13,63
2019-04-14,62
2019-04-15,58
2019-04-16,60
2019-04-17,59
2019-04-18,58
2019-04-19,60
2019-04-20,65
2019-04-21,64
2019-04-22,60
2019-04-23,60
2019-04-24,58
2019-04-25,57
2019-04-26,57
2019-04-27,60
2019-04-28,62
2019-04-29,59
2019-04-30,61
2019-05-01,61
2019-05-02,58
2019-05-03,59
2019-05-04,62
2019-05-05,64
2019-05-06,57
2019-05-07,59
2019-05-08,58
2019-05-09,56
2019-05-10,59
2019-05-11,65
2019-05-12,68
2019-05-13,64
2019-05-14,64
2019-05-15,59
2019-05-16,58
2019-05-17,57
2019-05-18,62
2019-05-19,61
2019-05-20,65
2019-05-21,59
2019-05-22,59
2019-05-23,59
2019-05-24,59
2019-05-25,63
2019-05-26,63
2019-05-27,66
2019-05-28,60
2019-05-29,59
2019-05-30,58
2019-05-31,61
2019-06-01,65
