Category: All categories

Day,Apple: (United States)
2016-02-01,50
2016-02-02,49
2016-02-03,51
2016-02-04,51
2016-02-05,49
2016-02-06,57
2016-02-07,57
2016-02-08,48
2016-02-09,52
2016-02-10,48
2016-02-11,50
2016-02-12,51
2016-02-13,57
2016-02-14,58
2016-02-15,54
2016-02-16,50
2016-02-17,58
2016-02-18,59
2016-02-19,55
2016-02-20,60
2016-02-21,59
2016-02-22,56
2016-02-23,56
2016-02-24,52
2016-02-25,54
2016-02-26,53
2016-02-27,57
2016-02-28,56
2016-02-29,49
2016-03-01,51
2016-03-02,49
2016-03-03,49
2016-03-04,51
2016-03-05,57
2016-03-06,53
2016-03-07,51
2016-03-08,50
2016-03-09,47
2016-03-10,47
2016-03-11,49
2016-03-12,52
2016-03-13,54
2016-03-14,50
2016-03-15,49
2016-03-16,48
2016-03-17,46
2016-03-18,48
2016-03-19,54
2016-03-20,54
2016-03-21,100
2016-03-22,76
2016-03-23,63
2016-03-24,60
2016-03-25,61
2016-03-26,61
2016-03-27,62
2016-03-28,57
2016-03-29,55
2016-03-30,54
2016-03-31,54
2016-04-01,55
2016-04-02,61
2016-04-03,59
2016-04-04,54
2016-04-05,54
2016-04-06,52
2016-04-07,51
2016-04-08,52
2016-04-09,56
2016-04-10,54
2016-04-11,51
2016-04-12,49
2016-04-13,49
2016-04-14,50
2016-04-15,51
2016-04-16,53
2016-04-17,54
2016-04-18,50
2016-04-19,51
2016-04-20,50
2016-04-21,47
2016-04-22,48
2016-04-23,53
2016-04-24,55
2016-04-25,51
2016-04-26,57
2016-04-27,61
2016-04-28,57
2016-04-29,66
2016-04-30,58
2016-05-01,58
2016-05-02,54
2016-05-03,51
2016-05-04,51
2016-05-05,49
2016-05-06,51
2016-05-07,56
2016-05-08,56
2016-05-09,52
2016-05-10,50
2016-05-11,48
2016-05-12,51
2016-05-13,54
2016-05-14,55
2016-05-15,56
2016-05-16,52
2016-05-17,53
2016-05-18,49
2016-05-19,49
2016-05-20,48
2016-05-21,53
2016-05-22,54
2016-05-23,50
2016-05-24,50
2016-05-25,49
2016-05-26,48
2016-05-27,49
2016-05-28,53
2016-05-29,53
2016-05-30,52
2016-05-31,49
2016-06-01,49
2016-06-02,51
2016-06-03,48
2016-06-04,51
2016-06-05,53
2016-06-06,49
2016-06-07,50
2016-06-08,48
2016-06-09,50
2016-06-10,50
2016-06-11,52
2016-06-12,50
2016-06-13,66
2016-06-14,62
2016-06-15,56
2016-06-16,52
2016-06-17,51
2016-06-18,57
2016-06-19,59
2016-06-20,52
2016-06-21,53
2016-06-22,53
2016-06-23,52
2016-06-24,50
2016-06-25,52
2016-06-26,52
2016-06-27,51
2016-06-28,51
2016-06-29,51
2016-06-30,49
2016-07-01,51
2016-07-02,52
2016-07-03,54
2016-07-04,53
2016-07-05,51
2016-07-06,50
2016-07-07,50
2016-07-08,49
2016-07-09,52
2016-07-10,54
2016-07-11,51
2016-07-12,52
2016-07-13,51
2016-07-14,49
2016-07-15,49
2016-07-16,53
2016-07-17,54
2016-07-18,50
2016-07-19,50
2016-07-20,49
2016-07-21,48
2016-07-22,49
2016-07-23,53
2016-07-24,54
2016-07-25,53
2016-07-26,54
2016-07-27,55
2016-07-28,50
2016-07-29,53
2016-07-30,55
2016-07-31,57
2016-08-01,54
