Category: All categories

Day,Apple: (United States)
2014-07-01,12
2014-07-02,12
2014-07-03,13
2014-07-04,13
2014-07-05,12
2014-07-06,13
2014-07-07,13
2014-07-08,12
2014-07-09,12
2014-07-10,12
2014-07-11,12
2014-07-12,13
2014-07-13,12
2014-07-14,12
2014-07-15,12
2014-07-16,13
2014-07-17,12
2014-07-18,12
2014-07-19,12
2014-07-20,13
2014-07-21,12
2014-07-22,14
2014-07-23,13
2014-07-24,13
2014-07-25,12
2014-07-26,13
2014-07-27,13
2014-07-28,12
2014-07-29,13
2014-07-30,13
2014-07-31,12
2014-08-01,12
2014-08-02,13
2014-08-03,13
2014-08-04,12
2014-08-05,13
2014-08-06,13
2014-08-07,13
2014-08-08,12
2014-08-09,13
2014-08-10,13
2014-08-11,13
2014-08-12,12
2014-08-13,12
2014-08-14,12
2014-08-15,12
2014-08-16,13
2014-08-17,14
2014-08-18,13
2014-08-19,13
2014-08-20,13
2014-08-21,12
2014-08-22,13
2014-08-23,14
2014-08-24,14
2014-08-25,14
2014-08-26,14
2014-08-27,14
2014-08-28,14
2014-08-29,14
2014-08-30,15
2014-08-31,15
2014-09-01,16
2014-09-02,15
2014-09-03,15
2014-09-04,15
2014-09-05,15
2014-09-06,16
2014-09-07,17
2014-09-08,18
2014-09-09,100
2014-09-10,49
2014-09-11,27
2014-09-12,32
2014-09-13,25
2014-09-14,23
2014-09-15,20
2014-09-16,20
2014-09-17,22
2014-09-18,23
2014-09-19,28
2014-09-20,31
2014-09-21,27
2014-09-22,23
2014-09-23,21
2014-09-24,22
2014-09-25,23
2014-09-26,22
2014-09-27,25
2014-09-28,25
2014-09-29,19
2014-09-30,19
2014-10-01,18
2014-10-02,18
2014-10-03,19
2014-10-04,23
2014-10-05,24
2014-10-06,17
2014-10-07,17
2014-10-08,16
2014-10-09,17
2014-10-10,18
2014-10-11,21
2014-10-12,22
2014-10-13,18
2014-10-14,16
2014-10-15,17
2014-10-16,25
2014-10-17,22
2014-10-18,23
2014-10-19,22
2014-10-20,22
2014-10-21,21
2014-10-22,19
2014-10-23,18
2014-10-24,17
2014-10-25,21
2014-10-26,20
2014-10-27,17
2014-10-28,17
2014-10-29,16
2014-10-30,17
2014-10-31,17
2014-11-01,19
2014-11-02,19
2014-11-03,16
2014-11-04,15
2014-11-05,14
2014-11-06,15
2014-11-07,15
2014-11-08,17
2014-11-09,17
2014-11-10,16
2014-11-11,15
2014-11-12,15
2014-11-13,14
2014-11-14,15
2014-11-15,17
2014-11-16,17
2014-11-17,15
2014-11-18,16
2014-11-19,15
2014-11-20,16
2014-11-21,16
2014-11-22,18
2014-11-23,19
2014-11-24,18
2014-11-25,19
2014-11-26,24
2014-11-27,28
2014-11-28,24
2014-11-29,20
2014-11-30,19
2014-12-01,17
2014-12-02,15
2014-12-03,14
2014-12-04,14
2014-12-05,13
2014-12-06,16
2014-12-07,16
2014-12-08,14
2014-12-09,13
2014-12-10,14
2014-12-11,14
2014-12-12,14
2014-12-13,16
2014-12-14,16
2014-12-15,14
2014-12-16,14
2014-12-17,14
2014-12-18,14
2014-12-19,15
2014-12-20,17
2014-12-21,17
2014-12-22,16
2014-12-23,17
2014-12-24,18
2014-12-25,22
2014-12-26,20
2014-12-27,18
2014-12-28,17
2014-12-29,16
2014-12-30,15
2014-12-31,15
2015-01-01,16
